month,GHI (kWh/m²),PV Yield (kWh)
1,174.3022,1307.2665
2,138.37785,1037.8338749999998
3,175.57229999999998,1316.79225
4,159.6914,1197.6854999999998
5,156.3991,1172.99325
6,120.9939,907.4542499999999
7,116.89025,876.6768749999999
8,128.4481,963.3607500000002
9,126.4316,948.2370000000001
10,144.13105,1080.982875
11,141.43779999999998,1060.7834999999998
12,182.23285,1366.7463750000002
