timestamp,pv_kw,load_kw,on_site_use,surplus,deficit
2005-06-01 00:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-01 01:00:00,0.0,0.7722978723404256,0.0,0.0,0.7722978723404256
2005-06-01 02:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-01 03:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-01 04:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-01 05:00:00,0.0,1.5445957446808511,0.0,0.0,1.5445957446808511
2005-06-01 06:00:00,0.7646250000000001,2.162434042553192,0.7646250000000001,0.0,1.3978090425531917
2005-06-01 07:00:00,2.3988750000000003,1.8535148936170212,1.8535148936170212,0.5453601063829792,0.0
2005-06-01 08:00:00,3.3667499999999997,1.5445957446808511,1.5445957446808511,1.8221542553191485,0.0
2005-06-01 09:00:00,4.6053749999999996,1.235676595744681,1.235676595744681,3.3696984042553186,0.0
2005-06-01 10:00:00,5.529375,1.081217021276596,1.081217021276596,4.448157978723404,0.0
2005-06-01 11:00:00,5.884500000000001,0.9267574468085108,0.9267574468085108,4.9577425531914905,0.0
2005-06-01 12:00:00,5.73675,0.9267574468085108,0.9267574468085108,4.809992553191489,0.0
2005-06-01 13:00:00,5.653125,0.9267574468085108,0.9267574468085108,4.72636755319149,0.0
2005-06-01 14:00:00,4.297125,1.081217021276596,1.081217021276596,3.215907978723404,0.0
2005-06-01 15:00:00,3.0029999999999997,1.235676595744681,1.235676595744681,1.7673234042553188,0.0
2005-06-01 16:00:00,1.5990000000000002,1.5445957446808511,1.5445957446808511,0.05440425531914905,0.0
2005-06-01 17:00:00,0.31275000000000003,2.471353191489362,0.31275000000000003,0.0,2.158603191489362
2005-06-01 18:00:00,0.0,3.7070297872340423,0.0,0.0,3.7070297872340423
2005-06-01 19:00:00,0.0,4.015948936170212,0.0,0.0,4.015948936170212
2005-06-01 20:00:00,0.0,2.471353191489362,0.0,0.0,2.471353191489362
2005-06-01 21:00:00,0.0,1.5445957446808511,0.0,0.0,1.5445957446808511
2005-06-01 22:00:00,0.0,1.235676595744681,0.0,0.0,1.235676595744681
2005-06-01 23:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-02 00:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-02 01:00:00,0.0,0.7722978723404256,0.0,0.0,0.7722978723404256
2005-06-02 02:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-02 03:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-02 04:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-02 05:00:00,0.0,1.5445957446808511,0.0,0.0,1.5445957446808511
2005-06-02 06:00:00,0.9228749999999999,2.162434042553192,0.9228749999999999,0.0,1.239559042553192
2005-06-02 07:00:00,2.1217499999999996,1.8535148936170212,1.8535148936170212,0.2682351063829784,0.0
2005-06-02 08:00:00,3.2579999999999996,1.5445957446808511,1.5445957446808511,1.7134042553191484,0.0
2005-06-02 09:00:00,4.228875,1.235676595744681,1.235676595744681,2.9931984042553195,0.0
2005-06-02 10:00:00,5.1884999999999994,1.081217021276596,1.081217021276596,4.107282978723403,0.0
2005-06-02 11:00:00,5.025,0.9267574468085108,0.9267574468085108,4.09824255319149,0.0
2005-06-02 12:00:00,4.948124999999999,0.9267574468085108,0.9267574468085108,4.021367553191489,0.0
2005-06-02 13:00:00,3.9434999999999993,0.9267574468085108,0.9267574468085108,3.0167425531914884,0.0
2005-06-02 14:00:00,3.0345000000000004,1.081217021276596,1.081217021276596,1.9532829787234045,0.0
2005-06-02 15:00:00,2.3381250000000002,1.235676595744681,1.235676595744681,1.1024484042553193,0.0
2005-06-02 16:00:00,1.2506249999999999,1.5445957446808511,1.2506249999999999,0.0,0.29397074468085127
2005-06-02 17:00:00,0.30674999999999997,2.471353191489362,0.30674999999999997,0.0,2.1646031914893618
2005-06-02 18:00:00,0.0,3.7070297872340423,0.0,0.0,3.7070297872340423
2005-06-02 19:00:00,0.0,4.015948936170212,0.0,0.0,4.015948936170212
2005-06-02 20:00:00,0.0,2.471353191489362,0.0,0.0,2.471353191489362
2005-06-02 21:00:00,0.0,1.5445957446808511,0.0,0.0,1.5445957446808511
2005-06-02 22:00:00,0.0,1.235676595744681,0.0,0.0,1.235676595744681
2005-06-02 23:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-03 00:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-03 01:00:00,0.0,0.7722978723404256,0.0,0.0,0.7722978723404256
2005-06-03 02:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-03 03:00:00,0.0,0.6178382978723405,0.0,0.0,0.6178382978723405
2005-06-03 04:00:00,0.0,0.9267574468085108,0.0,0.0,0.9267574468085108
2005-06-03 05:00:00,0.0,1.5445957446808511,0.0,0.0,1.5445957446808511
2005-06-03 06:00:00,0.4957499999999999,2.162434042553192,0.4957499999999999,0.0,1.666684042553192
2005-06-03 07:00:00,0.81075,1.8535148936170212,0.81075,0.0,1.0427648936170213
2005-06-03 08:00:00,1.6728750000000001,1.5445957446808511,1.5445957446808511,0.12827925531914897,0.0
2005-06-03 09:00:00,1.943625,1.235676595744681,1.235676595744681,0.707948404255319,0.0
2005-06-03 10:00:00,1.9447500000000004,1.081217021276596,1.081217021276596,0.8635329787234045,0.0
